INFO  - 2014-09-22 18:06:15.216; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@C:\dev\solr-4.10.0\solr-4.10.0\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@C:\dev\solr-4.10.0\solr-4.10.0\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-09-22 18:06:15.218; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-09-22 18:06:15.240; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@5787f270[collection1] main
INFO  - 2014-09-22 18:06:15.265; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: C:\dev\solr-4.10.0\solr-4.10.0\example\solr\collection1\conf
INFO  - 2014-09-22 18:06:15.267; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=C:\dev\solr-4.10.0\solr-4.10.0\example\solr\collection1\conf}
INFO  - 2014-09-22 18:06:15.272; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=C:\dev\solr-4.10.0\solr-4.10.0\example\solr\collection1\conf
INFO  - 2014-09-22 18:06:15.290; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=C:\dev\solr-4.10.0\solr-4.10.0\example\solr\collection1\conf
INFO  - 2014-09-22 18:06:15.293; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2014-09-22 18:06:15.298; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2014-09-22 18:06:15.300; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=C:\dev\solr-4.10.0\solr-4.10.0\example\solr\collection1\conf
INFO  - 2014-09-22 18:06:15.305; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=C:\dev\solr-4.10.0\solr-4.10.0\example\solr\collection1\conf
INFO  - 2014-09-22 18:06:15.306; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2014-09-22 18:06:15.308; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2014-09-22 18:06:15.310; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2014-09-22 18:06:15.312; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=C:\dev\solr-4.10.0\solr-4.10.0\example\solr\collection1\conf
INFO  - 2014-09-22 18:06:15.315; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=C:\dev\solr-4.10.0\solr-4.10.0\example\solr\collection1\conf
INFO  - 2014-09-22 18:06:15.316; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2014-09-22 18:06:15.320; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2014-09-22 18:06:15.330; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2014-09-22 18:06:15.331; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2014-09-22 18:06:15.359; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
